Company,Year,Revenue,Net Income,Total Assets,Total Liabilities,Operating Cash Flow
Microsoft,2024,"₹ 2,45,122","₹ 88,136","₹ 5,12,163","₹ 2,43,686","₹ 1,18,548"
Microsoft,2023,"₹ 2,11,915","₹ 72,361","₹ 4,11,976","₹ 2,05,753","₹ 87,582"
Microsoft,2022,"₹ 1,98,270","₹ 72,738",[N/A],[N/A],"₹ 89,035"
