Company,Year,Revenue,Net Income,Total Assets,Total Liabilities,Operating Cash Flow
Apple,2024,"₹ 3,24,559","₹ 7,780","₹ 3,02,933","₹ 2,55,665","₹ 9,815"
Apple,2023,"₹ 3,18,127","₹ 8,051","₹ 2,92,644","₹ 2,41,063","₹ 9,175"
Apple,2022,"₹ 3,27,293","₹ 8,284",[N/A],[N/A],"₹ 10,139"
